Year,Month,Day,Hour,Min,GoesClass,Location,StartTime
2012,3,5,2,30,X1.1,N19E58,
2012,7,12,15,37,X1.4,S13W03,
2013,5,15,1,24,X1.2,N12E64,
2014,10,25,16,55,X1.0,S10W22,
2014,11,7,16,53,X1.6,N14E36,
2011,2,16,7,35,M1.1,S19W29,
2011,9,23,21,54,M1.6,N12E56,
2011,11,3,10,58,M2.5,N20E70,
2011,11,5,3,8,M3.7,N20E47,
2011,11,5,20,31,M1.8,N21E37,
2011,12,31,16,16,M1.5,S25E42,
2012,1,17,4,41,M1.0,N18E53,
2012,1,18,19,4,M1.7,N17E32,
2012,5,7,14,3,M1.9,S20W49,
2012,5,9,14,2,M1.8,N06E22,
2012,6,13,11,29,M1.2,S16E18,
2012,7,6,8,17,M1.5,S17W40,
2012,7,14,4,51,M1.0,S22W36,
2013,5,2,4,58,M1.1,N10W26,
2013,5,3,16,39,M1.3,N10W38,
2013,8,17,18,16,M3.3,S07W30,
2013,10,22,0,14,M1.0,N06E17,
2013,10,28,14,46,M2.7,S08E28,
2013,12,7,7,17,M1.2,S16W49,
2013,12,22,8,5,M1.9,S20W49,
2014,1,4,10,16,M1.3,S05E48,
2014,1,4,19,5,M4.0,S11E34,
2014,2,14,2,40,M2.3,S12W25,
2014,2,14,12,29,M1.6,S15W36,
2014,6,12,21,34,M3.1,S20W55,
2014,6,15,23,50,M1.0,S19E08,
2014,8,1,17,55,M1.5,S10E11,
2014,10,26,19,59,M2.4,S15W45,
2014,10,28,2,15,M3.4,S14W61,
2014,10,29,9,54,M1.2,S18W77,
2014,11,5,18,50,M2.9,N17E65,
2014,11,7,2,1,M2.7,N17E50,
2014,11,7,9,43,M1.0,N15E43,
2014,12,4,7,36,M1.3,S24W27,
2014,12,5,11,33,M1.5,S23W41,
2014,12,19,9,31,M1.3,S19W27,
2015,3,12,12,9,M1.4,S18E05,
2015,3,12,13,45,M4.2,S15E06,
2015,3,13,5,49,M1.8,S14W02,
2015,3,14,4,23,M1.3,S14W12,
2015,3,15,22,42,M1.2,S19W32,
2015,3,16,10,39,M1.6,S17W39,
2015,3,17,22,49,M1.0,S21W56,
2015,6,21,1,2,M2.0,N12E13,
2015,8,30,2,1,M1.4,S17W80,
2015,9,27,20,54,M1.0,S21W16,
2016,1,1,23,10,M2.3,S25W82,
